,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,11592607,11678838,11679381,11679550,11710924,11711990,11715055,11720161,11727216,11729122,13526656,18044039,18051039,20873674,20927098,21070363,31390645,31608027,37676634,38276255,38425640,1192717326,1196907375,1229984226,1253387841,1253709106,1279278264,1290765626,1294003190,1344242919,1379257328,1414550429,1478209881,1531973282,1625974889,1888220096,1894997278,1948933041,1977740975
0,3.0,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.49332161238586,5.0,5.0,4.4,5.0,4.4,4.4,5.0,4.4,5.0,5.0,5.0,5.0,4.4,5.0,5.0,5.0,4.4,5.0,4.999999999999999,4.4,5.0,4.4,5.0,4.4,5.0,5.0,4.4,5.0,4.4,5.0,4.500632169664292,4.500782927561547,4.4,4.4,4.501207197705735,4.500857861957207,4.4,4.0
1,5.0,5.0,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.354642950980057,4.371305855363133,4.6,4.0,4.6,4.0,4.398236671090202,4.6,4.309354265409919,4.392687526185754,4.360755102667176,4.421792251424501,4.6,4.188466790350467,4.399899112834869,4.0,4.6,5.0,4.444081131287751,4.6,4.2777453178023235,4.6,4.381949585049732,4.6,4.430659716769313,4.407153506971359,4.6,4.6,4.6,4.309354265409919,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
2,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.999999999999999,4.0
3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.002582144540404,4.001925443322831,4.2,4.0,4.2,5.0,4.000938216261529,4.2,4.072374835136798,4.001134604046558,4.002336925884872,5.0,4.2,4.241319548608748,4.0,4.214423842110127,4.2,3.9996703031531933,3.9994402242609506,4.2,4.114541161862766,4.2,4.001524810556826,4.2,3.0,4.000629855848017,4.2,4.2,4.2,4.072374835136798,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
4,3.6,3.6,3.6,3.6,3.0,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.674321130317002,3.6683256992423354,3.6,3.701269788125253,3.6,4.0,3.6593208097544103,3.6,3.6925290761844494,3.6611113645277995,3.6720818727350952,5.0,3.6,3.760980065810508,3.6587906423982455,3.7481479596655403,4.0,3.6477699480536048,3.6456756164204083,4.0,3.7072067290617907,3.6,3.664670194336195,3.6,2.0,3.6565101279307815,4.0,3.6,4.0,4.0,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9999999999999996,3.0,3.0,3.0,3.0,3.0000000000000004,3.0,3.0,3.0,3.0000000000000004,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,4.25,4.25,4.25,4.25,4.25,5.0,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.001027791391336,4.0007032537777905,4.25,4.002617581243794,4.25,4.25,4.000233702262615,4.25,4.002076933595772,4.000325413688305,4.00090542860782,5.0,4.25,4.0071342908649825,4.000206701320419,4.006021366161818,4.25,5.0,3.9995603449806603,4.25,4.002999743119915,4.25,4.000510112896202,4.25,2.0,4.000091350082845,4.25,4.25,4.25,4.002076933595772,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
